snapshot_time,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
1789595537,780a57,CPA612  ,China,1789595536,1789595536,95.1433,13.0128,12496.8,False,233.99,62.93,0,,,,False,0
1789595537,780a58,CPA624  ,China,1789595536,1789595536,87.8147,20.9424,11277.6,False,244.11,70.04,-0.33,,11986.26,0640,False,0
1789595537,8963ec,UAE7Q   ,United Arab Emirates,1789595536,1789595536,79.192,14.8202,11582.4,False,260.67,296.87,0.33,,12260.58,2133,False,0
1789595537,8963e7,UAE374  ,United Arab Emirates,1789595536,1789595536,72.4347,23.9621,11887.2,False,260.49,94.19,0,,12618.72,,False,0
1789595537,896536,ETD473  ,United Arab Emirates,1789595405,1789595405,75.4144,9.9943,11574.78,False,265.14,300.3,-0.33,,12260.58,,False,0
1789595537,896535,ETD870  ,United Arab Emirates,1789595536,1789595536,87.5909,22.8603,12481.56,False,251.63,101.68,2.93,,13228.32,1714,False,0
1789595537,896539,ETD474  ,United Arab Emirates,1789595535,1789595535,77.0327,9.5861,11269.98,False,243.97,121.81,0,,11932.92,,False,0
1789595537,89647c,UAE75T  ,United Arab Emirates,1789595519,1789595519,75.6396,9.7409,12192,False,263.82,301.77,0,,12870.18,,False,0
1789595537,896496,ABY518  ,United Arab Emirates,1789595534,1789595536,78.0003,26.2728,11216.64,False,249.1,78.81,3.58,,11902.44,,False,0
1789595537,896473,UAE319  ,United Arab Emirates,1789595536,1789595536,72.0953,22.9864,12192,False,253.32,267.67,0,,12923.52,,False,0
1789595537,896488,ETD401  ,United Arab Emirates,1789595536,1789595536,89.0444,17.8884,10965.18,False,260.45,288.54,-0.33,,11643.36,0711,False,0
1789595537,896451,UAE325  ,United Arab Emirates,1789595533,1789595536,73.5757,23.0791,10972.8,False,257.45,267.59,0,,11666.22,,False,0
1789595537,40688f,BAW35   ,United Kingdom,1789595536,1789595536,80.2719,13.6765,4030.98,False,181.81,169.07,-13.33,,4168.14,5715,False,0
1789595537,89642e,ABY422  ,United Arab Emirates,1789595536,1789595536,76.2297,10.1548,655.32,False,105.38,117.32,-0.33,,586.74,,False,0
1789595537,89642d,ABY410  ,United Arab Emirates,1789595512,1789595512,76.2119,11.111,6728.46,False,225.89,96.8,-9.1,,9067.8,,False,0
1789595537,8963a2,UAE9785 ,United Arab Emirates,1789595536,1789595537,91.6526,22.2779,9753.6,False,252.31,277.73,0,,10355.58,5345,False,0
1789595537,8964fa,ETD410  ,United Arab Emirates,1789595536,1789595536,91.4111,14.8217,12489.18,False,249.55,134.83,-0.33,,,,False,0
1789595537,8964bf,ETD898  ,United Arab Emirates,1789595536,1789595537,86.7469,22.9399,11879.58,False,255.38,95.66,-0.33,,12595.86,3423,False,0
1789595537,780c01,CES2052 ,China,1789595536,1789595536,89.9842,22.5254,11277.6,False,243.08,92.67,0,,12001.5,4000,False,0
1789595537,896660,FDB570  ,United Arab Emirates,1789595537,1789595537,74.3363,14.8319,10972.8,False,244.27,326.08,0,,11635.74,,False,0
1789595537,89664c,ETD218  ,United Arab Emirates,1789595536,1789595536,77.2996,28.3788,1638.3,False,119.36,23.36,-5.2,,1638.3,,False,0
1789595537,780ab6,CPA694  ,China,1789595536,1789595536,92.4046,23.5125,11887.2,False,256.66,93.45,0,,12603.48,0513,False,0
1789595537,885963,TVJ761  ,Thailand,1789595536,1789595536,88.3418,18.1218,9448.8,False,245.98,108.66,0.33,,10035.54,0315,False,0
1789595537,8964b0,UAE399  ,United Arab Emirates,1789595526,1789595528,83.5409,12.6673,11582.4,False,265.04,296.27,-0.33,,12260.58,,False,0
1789595537,8964a8,UAE313  ,United Arab Emirates,1789595536,1789595536,85.4707,21.9994,10363.2,False,250.72,262.34,0,,11003.28,6354,False,0
1789595537,76cc75,SIA402  ,Singapore,1789595533,1789595536,86.2001,17.8604,10972.8,False,261.62,313.65,-0.33,,11658.6,,False,0
1789595537,484cba,KLM836  ,Kingdom of the Netherlands,1789595535,1789595535,75.7183,26.8778,9144,False,250.39,292.09,0,,9669.78,,False,0
1789595537,76cd43,SIA306  ,Singapore,1789595505,1789595509,77.1835,24.7562,10972.8,False,250.59,300.2,0,,11628.12,,False,0
1789595537,8a08b1,UBA8502 ,Indonesia,1789595512,1789595512,96.2719,17.1403,1325.88,False,111.62,197.43,-6.18,,,,False,0
1789595537,89669a,ETD6RM  ,United Arab Emirates,1789595536,1789595536,77.7236,13.1444,2849.88,False,150.82,98.43,-4.88,,2910.84,,False,0
1789595537,89668b,ABY471  ,United Arab Emirates,1789595536,1789595537,80.2389,13.0164,388.62,False,70.51,249.05,-3.25,,281.94,3433,False,0
1789595537,781fd6,CSS159  ,China,1789595536,1789595536,78.3807,28.3532,5029.2,False,193.49,296.02,-7.8,,5234.94,6002,False,0
1789595537,896679,UAE387  ,United Arab Emirates,1789595224,1789595227,82.3603,21.6144,12192,False,248.33,259.74,0,,12893.04,,False,0
1789595537,152036,AFL292  ,Russian Federation,1789595536,1789595536,81.7744,26.6905,11277.6,False,245.41,123.46,0.65,,11948.16,,False,0
1789595537,89408b,GFA152  ,Bahrain,1789595537,1789595537,68.3447,24.1273,11887.2,False,255.24,91.39,-0.33,,12618.72,,False,0
1789595537,899087,EVA095  ,Taiwan,1789595536,1789595536,78.2909,29.3756,10972.8,False,232.71,309.71,-0.33,,11590.02,0432,False,0
1789595537,89907e,EVA065  ,Taiwan,1789595536,1789595536,78.8693,27.9811,10363.2,False,246.47,292.07,-0.33,,10965.18,0427,False,0
1789595537,899097,EVA062  ,Taiwan,1789595535,1789595536,89.1641,20.8936,11879.58,False,262.42,125.75,-0.33,,12603.48,7112,False,0
1789595537,040143,ETH609  ,Ethiopia,1789595536,1789595536,80.5989,12.9475,9753.6,False,258.36,275.37,0,,10325.1,0740,False,0
1789595537,706214,JZR406  ,Kuwait,1789595536,1789595536,75.5598,11.7338,8770.62,False,242.4,331.48,3.25,,9265.92,,False,0
1789595537,040156,ETH3290 ,Ethiopia,1789595536,1789595536,70.6411,22.9196,12496.8,False,240.88,85.84,0,,13243.56,,False,0
1789595537,040126,ETH687  ,Ethiopia,1789595536,1789595536,74.9801,28.5047,7734.3,False,189.57,272.96,5.2,,8130.54,,False,0
1789595537,899036,EVA087  ,Taiwan,1789595272,1789595285,73.9683,30.233,9753.6,False,241.9,311.9,-0.33,,10294.62,2643,False,0
1789595537,8881ff,VJC1806 ,Viet Nam,1789595536,1789595536,93.8195,16.2516,10058.4,False,240.42,110.41,0,,,0374,False,0
